dispnum	version	change
12	2.1	ENDDAY changed back to 30.
13	2.1	STYEAR changed back to 1863. STMON changed back to 4. STDAY changed back to 6. HIACT changed to 16 Attack [4]. NUMA changed to 1. RECIP changed to 1.
20	2.1	HIACT changed to 14 Occupation of territory [4]. HOSTLEV changed to 4 Use of force.
21	2.1	RECIP changed to 1.
25	2.1	ENDYEAR changed back to 1832. ENDMON changed to 12. ENDDAY changed to -9.
27	2.1	STDAY changed to 15.
50	2.1	FATALITY changed to 6 > 999 deaths.
64	2.1	STMON changed to 3. STDAY changed to 17. ENDMON changed back to 10. ENDDAY changed to 7.
68	2.1	RECIP changed to 1.
86	2.1	HIACT changed to 16 Attack [4]. RECIP changed to 0.
104	2.1	HIACT changed to 11 Fortify border [3].
114	2.1	STDAY changed to -9. ENDDAY changed to 18.
119	2.1	HIACT changed to 11 Fortify border [3].
123	2.1	HIACT changed to 13 Blockade [4].
125	2.1	HIACT changed to 16 Attack [4]. HOSTLEV changed to 4 Use of force.
134	2.1	HIACT changed to 7 Show of force [3].
146	2.1	ENDDAY changed back to -9. HIACT changed to 17 Clash [4].
148	2.1	FATALITY changed to 1 1-25 deaths. FATALPRE changed to 1.
152	2.1	HIACT changed to 14 Occupation of territory [4].
160	2.1	HIACT changed to 18 Declaration of war [4].
165	2.1	HIACT changed to 16 Attack [4].
169	2.1	STDAY changed to 10. HIACT changed to 17 Clash [4].
172	2.1	STDAY changed to 5.
180	2.1	STMON changed to 7. STDAY changed to -9.
183	2.1	STDAY changed to -9.
184	2.1	STDAY changed to -9.
185	2.1	STDAY changed to 19. HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force. RECIP changed to 0.
191	2.1	HIACT changed to 16 Attack [4].
199	2.1	STMON changed to 10. STDAY changed to 24.
225	2.1	ENDDAY changed back to 26.
231	2.1	ENDMON changed back to 5. ENDDAY changed back to 25.
236	2.1	ENDDAY changed to 8.
246	2.1	HIACT changed to 17 Clash [4].
251	2.1	FATALPRE changed to 0.
252	2.1	STYEAR changed to 1946. STMON changed to 1. STDAY changed to 16.
260	2.1	STDAY changed to 23.
266	2.1	STMON changed back to 2. STDAY changed back to 8. FATALITY changed to 1 1-25 deaths. FATALPRE changed to 5.
317	2.1	STDAY changed to 6.
324	2.1	STMON changed back to 3. STDAY changed back to 7. ENDYEAR changed to 1916. ENDMON changed to 11. ENDDAY changed to 26. NUMA changed to 4.
337	2.1	STYEAR changed to 1939. STMON changed to 6. STDAY changed to 14. HIACT changed to 15 Seizure [4]. RECIP changed to 1.
339	2.1	STMON changed to 3. STDAY changed to 28.
345	2.1	HIACT changed to 16 Attack [4].
349	2.1	STYEAR changed to 1968. STMON changed to 12. STDAY changed to 27.
352	2.1	STMON changed to 5. STDAY changed to 7. ENDMON changed to 10. ENDDAY changed to -9.
353	2.1	ENDMON changed back to 10. ENDDAY changed back to 31.
356	2.1	HIACT changed to 17 Clash [4].
358	2.1	HIACT changed to 16 Attack [4]. RECIP changed to 0.
364	2.1	ENDMON changed to 3. ENDDAY changed to 17.
367	2.1	FATALITY changed to -9 Missing. FATALPRE changed to -9. HIACT changed to 16 Attack [4]. RECIP changed to 1.
370	2.1	STDAY changed to -9.
371	2.1	STMON changed to 3. STDAY changed to 12. ENDDAY changed to 12.
375	2.1	STMON changed back to 4. STDAY changed back to 1.
396	2.1	STDAY changed to 27.
409	2.1	STDAY changed to 19. ENDDAY changed to 30.
414	2.1	STDAY changed to 29.
610	2.1	STDAY changed to 21. HIACT changed to 17 Clash [4].
612	2.1	ENDMON changed to 10. ENDDAY changed to 23.
623	2.1	STMON changed to 8.
633	2.1	HIACT changed to 17 Clash [4].
1006	2.1	ENDDAY changed to 25.
1021	2.1	HIACT changed to 17 Clash [4].
1028	2.1	FATALPRE changed to 0.
1039	2.1	STMON changed to 9. STDAY changed to 2. NUMB changed to 2.
1051	2.1	FATALITY changed to 1 1-25 deaths. FATALPRE changed to 1.
1061	2.1	ENDMON changed to 1. ENDDAY changed to 12.
1062	2.1	HIACT changed to 11 Fortify border [3].
1067	2.1	NUMB changed to 5.
1070	2.1	NUMB changed to 4.
1072	2.1	HIACT changed to 10 Mobilization [3].
1087	2.1	ENDYEAR changed back to 1911. ENDMON changed back to 12. ENDDAY changed back to 30.
1106	2.1	HIACT changed to 16 Attack [4]. NUMB changed to 2.
