dispnum3	incidnum3	version	ccode	c_ccode	change
4182	4182397	2.1	666	NA	End Day changed to 30.
4182	4182397	2.1	660	NA	End Day changed to 30.
4182	4182421	2.1	666	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4182	4182421	2.1	660	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4182	4182443	2.1	666	NA	End Month changed to 6. End Day changed to 29.
4182	4182443	2.1	660	NA	End Month changed to 6. End Day changed to 29.
4182	4182446	2.1	666	NA	Drop incident. A news story providing evidence for this incident could not be found.
4182	4182446	2.1	660	NA	Drop incident. A news story providing evidence for this incident could not be found.
4182	4182447	2.1	666	NA	End Day changed to 9.
4182	4182447	2.1	660	NA	End Day changed to 9.
4182	4182454	2.1	666	NA	End Day changed to 29.
4182	4182454	2.1	660	NA	End Day changed to 29.
4182	4182460	2.1	666	NA	End Day changed to 22.
4182	4182460	2.1	660	NA	End Day changed to 22.
4182	4182466	2.1	660	NA	End Month changed to 7. End Day changed to 1.
4182	4182473	2.1	666	NA	End Day changed to 23.
4182	4182473	2.1	660	NA	End Day changed to 23.
4182	4182476	2.1	666	NA	Action changed to 16 Attack . Hostility Level changed to 4 Use of force.
4182	4182484	2.1	666	NA	Drop incident. A news story providing evidence for this incident could not be found.
4182	4182484	2.1	660	NA	Drop incident. A news story providing evidence for this incident could not be found.
4242	4242004	2.1	372	NA	Action changed to 7 Show of force .
4242	4242007	2.1	365	NA	Action changed to 10 Mobilization .
4273	4273168	2.1	690	NA	Start Month changed to 10. Start Day changed to -9. Start Year changed to 10. End Day changed to -9.
4273	4273168	2.1	645	NA	Start Month changed to 10. Start Day changed to -9. Start Year changed to 10. End Day changed to -9.
4277	4277011	2.1	770	NA	Start Day changed to 17. End Day changed to 17.
4277	4277011	2.1	750	NA	Start Day changed to 17. End Day changed to 17.
4277	4277012	2.1	770	NA	Start Day changed to 17. End Day changed to 17.
4277	4277012	2.1	750	NA	Start Day changed to 17. End Day changed to 17.
4277	4277021	2.1	770	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4277	4277021	2.1	750	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4277	4277032	2.1	770	NA	Start Day changed to 18. End Day changed to 18.
4277	4277032	2.1	750	NA	Start Day changed to 18. End Day changed to 18.
4277	4277033	2.1	770	NA	Start Day changed to 18. End Day changed to 18.
4277	4277033	2.1	750	NA	Start Day changed to 18. End Day changed to 18.
4277	4277037	2.1	770	NA	Fatality changed to 0 None. Start Month changed to 0.
4277	4277052	2.1	770	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4277	4277052	2.1	750	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4277	4277057	2.1	770	NA	Start Day changed to 27. End Day changed to 28.
4277	4277057	2.1	750	NA	Start Day changed to 27. End Day changed to 28.
4277	4277075	2.1	770	NA	Start Day changed to 12.
4277	4277075	2.1	750	NA	Start Day changed to 12.
4282	4282008	2.1	731	NA	Start Day changed to 4. End Day changed to 4.
4282	4282008	2.1	732	NA	Start Day changed to 4. End Day changed to 4.
4282	4282009	2.1	731	NA	Action changed to 0 No militarized action . Hostility Level changed to 1 No militarized action.
4282	4282009	2.1	732	NA	Action changed to 11 Fortify border . Hostility Level changed to 3 Display of force.
4282	4282011	2.1	732	NA	Fatality changed to 1 1-25 deaths.
4282	4282019	2.1	731	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4282	4282019	2.1	732	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4282	4282020	2.1	732	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4282	4282020	2.1	731	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4282	4282028	2.1	732	2	ccode changed to 2. Start Day changed to -9. End Day changed to -9.
4282	4282028	2.1	731	NA	Start Day changed to -9. End Day changed to -9.
4282	4282031	2.1	731	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4282	4282031	2.1	732	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4320	4320015	2.1	350	NA	End Day changed to 20.
4320	4320015	2.1	640	NA	End Day changed to 20.
4320	4320016	2.1	640	NA	Action changed to 0 No militarized action . Hostility Level changed to 1 No militarized action.
4320	4320016	2.1	350	NA	Action changed to 7 Show of force . Hostility Level changed to 3 Display of force.
4325	4325004	2.1	640	NA	Fatality changed to 0 None. Start Month changed to 0.
4325	4325007	2.1	640	NA	Action changed to 12 Border violation .
4325	4325008	2.1	640	NA	Start Day changed to -9. End Day changed to -9.
4325	4325008	2.1	645	NA	Start Day changed to -9. End Day changed to -9.
4325	4325009	2.1	640	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4325	4325009	2.1	645	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4325	4325010	2.1	640	NA	Fatality changed to 0 None. Start Month changed to 0.
4325	4325012	2.1	640	NA	End Month changed to 9.
4325	4325012	2.1	645	NA	End Month changed to 9.
4325	4325013	2.1	640	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4325	4325013	2.1	645	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4345	4345003	2.1	530	NA	End Day changed to 29.
4345	4345003	2.1	520	NA	End Day changed to 29.
4347	4347001	2.1	517	NA	Drop incident. A news story providing evidence for this incident could not be found.
4347	4347001	2.1	490	NA	Drop incident. A news story providing evidence for this incident could not be found.
4347	4347004	2.1	517	NA	Drop incident. A news story providing evidence for this incident could not be found.
4347	4347004	2.1	490	NA	Drop incident. A news story providing evidence for this incident could not be found.
4349	4349001	2.1	625	NA	Action changed to 10 Mobilization .
4349	4349002	2.1	625	NA	Action changed to 7 Show of force .
4349	4349004	2.1	625	NA	Fatality changed to 4 251-500 deaths.
4350	4350001	2.1	500	NA	Fatality changed to 0 None. Start Month changed to 0.
4351	4351001	2.1	433	NA	Action changed to 7 Show of force .
4353	4353001	2.1	510	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4353	4353001	2.1	516	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4354	4354001	2.1	200	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4354	4354001	2.1	552	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4356	4356001	2.1	517	NA	Start Month changed to 8. Start Day changed to -9. End Month changed to 8. End Day changed to -9.
4356	4356001	2.1	490	NA	Start Month changed to 8. Start Day changed to -9. End Month changed to 8. End Day changed to -9.
4356	4356002	2.1	517	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4356	4356002	2.1	490	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4356	4356003	2.1	517	NA	Start Day changed to -9. End Day changed to -9.
4356	4356003	2.1	500	NA	Start Day changed to -9. End Day changed to -9.
4356	4356004	2.1	517	NA	Start Day changed to 7. End Day changed to -9.
4356	4356004	2.1	490	NA	Start Day changed to 7. End Day changed to -9.
4356	4356005	2.1	500	NA	Start Month changed to 3. Start Day changed to 14.
4356	4356005	2.1	517	NA	Start Month changed to 3. Start Day changed to 14.
4358	4358001	2.1	450	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4358	4358001	2.1	437	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4361	4361001	2.1	615	NA	Action changed to 7 Show of force .
4364	4364001	2.1	432	NA	Action changed to 7 Show of force .
4366	4366001	2.1	517	NA	Start Day changed to -9. End Month changed to 10. End Day changed to -9.
4366	4366001	2.1	490	NA	Start Day changed to -9. End Month changed to 10. End Day changed to -9.
4366	4366005	2.1	490	NA	Drop incident. A news story providing evidence for this incident could not be found.
4366	4366005	2.1	516	NA	Drop incident. A news story providing evidence for this incident could not be found.
4366	4366006	2.1	517	NA	Start Day changed to 30. End Day changed to 30. Action changed to 1 Threat to use force .
4366	4366006	2.1	490	NA	Start Day changed to 30. End Day changed to 30.
4366	4366007	2.1	517	NA	Start Month changed to 11. Start Day changed to -9. End Month changed to 5. End Day changed to -9.
4366	4366007	2.1	490	NA	Start Month changed to 11. Start Day changed to -9. End Month changed to 5. End Day changed to -9.
4366	4366008	2.1	490	NA	Start Day changed to 7.
4366	4366008	2.1	517	NA	Start Day changed to 7.
4366	4366009	2.1	517	NA	Drop incident. Agreements between the United States and Pakistan imply that this was not a militarized incident according to CoW coding rules.
4366	4366009	2.1	490	NA	Drop incident. Agreements between the United States and Pakistan imply that this was not a militarized incident according to CoW coding rules.
4367	4367002	2.1	220	NA	Action changed to 10 Mobilization .
4368	4368001	2.1	551	NA	Action changed to 7 Show of force .
4369	4369001	2.1	501	NA	Start Day changed to 12. End Day changed to 12.
4369	4369001	2.1	530	NA	Start Day changed to 12. End Day changed to 12.
4370	4370001	2.1	531	NA	End Month changed to 4. End Year changed to 2005.
4370	4370001	2.1	625	NA	End Month changed to 4. End Year changed to 2005.
4371	4371002	2.1	437	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4371	4371002	2.1	2	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4372	4372001	2.1	517	490	ccode changed to 490.
4374	4374001	2.1	501	NA	Fatality changed to 1 1-25 deaths. Start Month changed to 1.
4381	4381001	2.1	500	NA	Action changed to 3 Threat to occupy territory .
4382	4382001	2.1	220	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4382	4382001	2.1	437	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4384	4384005	2.1	483	NA	Drop incident. A news story providing evidence for this incident could not be found.
4384	4384005	2.1	625	NA	Drop incident. A news story providing evidence for this incident could not be found.
4386	4386001	2.1	500	NA	Start Day changed to 27. End Day changed to 27.
4386	4386001	2.1	490	NA	Start Day changed to 27. End Day changed to 27.
4387	4387001	2.1	530	NA	Start Day changed to 17.
4387	4387001	2.1	520	NA	Start Day changed to 17.
4387	4387002	2.1	530	NA	Start Day changed to -9.
